category_id,place_name,category_name,station_near_from
16032,Parc Rosaire-Gauthier,Park,"48.428023, -71.062506"
10000,Club de Curling de Chicoutimi,Arts and Entertainment,"48.404457, -71.058208"
12051,École de conduite Tecnic Chicoutimi,Driving School,"48.420480, -71.053380"
15026,Lambert Sport Physio,Physical Therapy Clinic,"48.337230, -70.879564"
10051,Georges-Vézina Ctr,Stadium,"48.425119, -71.051336"
13276,Aki Sushi,Sushi Restaurant,"48.404255, -71.216372"
10030,La Pulperie de Chicoutimi,History Museum,"48.411807, -71.254890"
13016,La Voie Maltée,Lounge,
13029,La Voie Maltée,Brewery,
13383,La Voie Maltée,Steakhouse,
13034,Cafe Cambio,Café,
13035,Cafe Cambio,Coffee Shop,
13065,Cafe Cambio,Restaurant,
13034,Passion Cafe Enr,Café,
13035,Passion Cafe Enr,Coffee Shop,
13065,Passion Cafe Enr,Restaurant,
