name,latitude,longitude,distance,yelp_rating,yelp_review,station_near_from
Le Légendaire Restaurant Bar,48.410642952545814,-71.05336150243492,522.3112533907296,4.0,6,"48.428023, -71.062506"
Boefish,48.4055757601996,-71.0570464618525,787.4222332350926,4.5,5,"48.404457, -71.058208"
Passion Café,48.4092903,-71.0549469,552.40847977075,4.0,5,"48.420480, -71.053380"
Rôtisserie St-Hubert,48.41331781556463,-71.04919084110449,799.1019489740098,2.5,4,"48.337230, -70.879564"
Ben & Florentine,48.403481,-71.054605,1066.1221081363658,2.5,6,"48.425119, -71.051336"
Le Légendaire Restaurant Bar,48.410642952545814,-71.05336150243492,522.3112533907296,4.0,6,"48.404255, -71.216372"
Boefish,48.4055757601996,-71.0570464618525,787.4222332350926,4.5,5,"48.411807, -71.254890"
Passion Café,48.4092903,-71.0549469,552.40847977075,4.0,5,
Rôtisserie St-Hubert,48.41331781556463,-71.04919084110449,799.1019489740098,2.5,4,
Ben & Florentine,48.403481,-71.054605,1066.1221081363658,2.5,6,
Le Légendaire Restaurant Bar,48.410642952545814,-71.05336150243492,522.3112533907296,4.0,6,
Boefish,48.4055757601996,-71.0570464618525,787.4222332350926,4.5,5,
